sample-id	SampleNO	SampleName	categery	sub_categery	freshwaterCom	brackishwaterCom	watertype	passage	replicate	27FBarcodeNumber	1492RBarcodeNumber
S1	1	Muhlendamm	field	Muhlendamm	field	field	b	p0	Muhlendamm	27F-NB01	1492R-NB01
S2	2	Stadthafen	field	Stadthafen	field	field	field	p0	Stadthafen	27F-NB01	1492R-NB02
S3	3	SABMarinaBramow	field	SABMarinaBramow	field	field	field	p0	SABMarinaBramow	27F-NB01	1492R-NB03
S4	4	IGAPark	field	IGAPark	field	field	field	p0	IGAPark	27F-NB01	1492R-NB04
S5	5	NeptunWerft	field	NeptunWerft	field	field	field	p0	NeptunWerft	27F-NB01	1492R-NB05
S6	6	MittelmoleWarnemunde	field	MittelmoleWarnemunde	field	field	field	p0	MittelmoleWarnemunde	27F-NB01	1492R-NB06
S7	7	WarnemundeStrand	field	WarnemundeStrand	field	field	field	p0	WarnemundeStrand	27F-NB01	1492R-NB07
S8	8	FieldBlank	control	field_control	control	field	f	p0	FieldBlank	27F-NB01	1492R-NB08
S9	9	f0_b100_b_p1_r1	microcosm	microcosm	f0	b100	b	p1	r1	27F-NB01	1492R-NB09
S10	10	f0_b100_b_p1_r2	microcosm	microcosm	f0	b100	b	p1	r2	27F-NB01	1492R-NB10
S11	11	f0_b100_b_p1_r3	microcosm	microcosm	f0	b100	b	p1	r3	27F-NB01	1492R-NB11
S12	12	f0_b100_b_p1_r4	microcosm	microcosm	f0	b100	b	p1	r4	27F-NB01	1492R-NB12
S13	13	f25_b75_b_p1_r1	microcosm	microcosm	f25	b75	b	p1	r1	27F-NB01	1492R-NB13
S14	14	f25_b75_b_p1_r2	microcosm	microcosm	f25	b75	b	p1	r2	27F-NB01	1492R-NB14
S15	15	f25_b75_b_p1_r3	microcosm	microcosm	f25	b75	b	p1	r3	27F-NB01	1492R-NB15
S16	16	f25_b75_b_p1_r4	microcosm	microcosm	f25	b75	b	p1	r4	27F-NB01	1492R-NB16
S17	17	f50_b50_b_p1_r1	microcosm	microcosm	f50	b50	b	p1	r1	27F-NB02	1492R-NB01
S18	18	f50_b50_b_p1_r2	microcosm	microcosm	f50	b50	b	p1	r2	27F-NB02	1492R-NB02
S19	19	f50_b50_b_p1_r3	microcosm	microcosm	f50	b50	b	p1	r3	27F-NB02	1492R-NB03
S20	20	f50_b50_b_p1_r4	microcosm	microcosm	f50	b50	b	p1	r4	27F-NB02	1492R-NB04
S21	21	f75_b25_b_p1_r1	microcosm	microcosm	f75	b25	b	p1	r1	27F-NB02	1492R-NB05
S22	22	f75_b25_b_p1_r2	microcosm	microcosm	f75	b25	b	p1	r2	27F-NB02	1492R-NB06
S23	23	f75_b25_b_p1_r3	microcosm	microcosm	f75	b25	b	p1	r3	27F-NB02	1492R-NB07
S24	24	f75_b25_b_p1_r4	microcosm	microcosm	f75	b25	b	p1	r4	27F-NB02	1492R-NB08
S25	25	f100_b0_b_p1_r1	microcosm	microcosm	f100	b0	b	p1	r1	27F-NB02	1492R-NB09
S26	26	f100_b0_b_p1_r2	microcosm	microcosm	f100	b0	b	p1	r2	27F-NB02	1492R-NB10
S27	27	f100_b0_b_p1_r3	microcosm	microcosm	f100	b0	b	p1	r3	27F-NB02	1492R-NB11
S28	28	f100_b0_b_p1_r4	microcosm	microcosm	f100	b0	b	p1	r4	27F-NB02	1492R-NB12
S29	29	f0_b100_f_p1_r1	microcosm	microcosm	f0	b100	f	p1	r1	27F-NB02	1492R-NB13
S30	30	f0_b100_f_p1_r2	microcosm	microcosm	f0	b100	f	p1	r2	27F-NB02	1492R-NB14
S31	31	f0_b100_f_p1_r3	microcosm	microcosm	f0	b100	f	p1	r3	27F-NB02	1492R-NB15
S32	32	f0_b100_f_p1_r4	microcosm	microcosm	f0	b100	f	p1	r4	27F-NB02	1492R-NB16
S33	33	f25_b75_f_p1_r1	microcosm	microcosm	f25	b75	f	p1	r1	27F-NB03	1492R-NB01
S34	34	f25_b75_f_p1_r2	microcosm	microcosm	f25	b75	f	p1	r2	27F-NB03	1492R-NB02
S35	35	f25_b75_f_p1_r3	microcosm	microcosm	f25	b75	f	p1	r3	27F-NB03	1492R-NB03
S36	36	f25_b75_f_p1_r4	microcosm	microcosm	f25	b75	f	p1	r4	27F-NB03	1492R-NB04
S37	37	f50_b50_f_p1_r1	microcosm	microcosm	f50	b50	f	p1	r1	27F-NB03	1492R-NB05
S38	38	f50_b50_f_p1_r2	microcosm	microcosm	f50	b50	f	p1	r2	27F-NB03	1492R-NB06
S39	39	f50_b50_f_p1_r3	microcosm	microcosm	f50	b50	f	p1	r3	27F-NB03	1492R-NB07
S40	40	f50_b50_f_p1_r4	microcosm	microcosm	f50	b50	f	p1	r4	27F-NB03	1492R-NB08
S41	41	f75_b25_f_p1_r1	microcosm	microcosm	f75	b25	f	p1	r1	27F-NB03	1492R-NB09
S42	42	f75_b25_f_p1_r2	microcosm	microcosm	f75	b25	f	p1	r2	27F-NB03	1492R-NB10
S43	43	f75_b25_f_p1_r3	microcosm	microcosm	f75	b25	f	p1	r3	27F-NB03	1492R-NB11
S44	44	f75_b25_f_p1_r4	microcosm	microcosm	f75	b25	f	p1	r4	27F-NB03	1492R-NB12
S45	45	f100_b0_f_p1_r1	microcosm	microcosm	f100	b0	f	p1	r1	27F-NB03	1492R-NB13
S46	46	f100_b0_f_p1_r2	microcosm	microcosm	f100	b0	f	p1	r2	27F-NB03	1492R-NB14
S47	47	f100_b0_f_p1_r3	microcosm	microcosm	f100	b0	f	p1	r3	27F-NB03	1492R-NB15
S48	48	f100_b0_f_p1_r4	microcosm	microcosm	f100	b0	f	p1	r4	27F-NB03	1492R-NB16
S49	49	f0_b0_f_p1_r1	control	microcosm_control	f0	b0	f	p1	r1	27F-NB04	1492R-NB01
S50	50	f0_b0_b_p1_r1	control	microcosm_control	f0	b0	b	p1	r1	27F-NB04	1492R-NB02
S51	51	f0_b100_b_p2_r1	microcosm	microcosm	f0	b100	b	p2	r1	27F-NB04	1492R-NB03
S52	52	f0_b100_b_p2_r2	microcosm	microcosm	f0	b100	b	p2	r2	27F-NB04	1492R-NB04
S53	53	f0_b100_b_p2_r3	microcosm	microcosm	f0	b100	b	p2	r3	27F-NB04	1492R-NB05
S54	54	f0_b100_b_p2_r4	microcosm	microcosm	f0	b100	b	p2	r4	27F-NB04	1492R-NB06
S55	55	f25_b75_b_p2_r1	microcosm	microcosm	f25	b75	b	p2	r1	27F-NB04	1492R-NB07
S56	56	f25_b75_b_p2_r2	microcosm	microcosm	f25	b75	b	p2	r2	27F-NB04	1492R-NB08
S57	57	f25_b75_b_p2_r3	microcosm	microcosm	f25	b75	b	p2	r3	27F-NB04	1492R-NB09
S58	58	f25_b75_b_p2_r4	microcosm	microcosm	f25	b75	b	p2	r4	27F-NB04	1492R-NB10
S59	59	f50_b50_b_p2_r1	microcosm	microcosm	f50	b50	b	p2	r1	27F-NB04	1492R-NB11
S60	60	f50_b50_b_p2_r2	microcosm	microcosm	f50	b50	b	p2	r2	27F-NB04	1492R-NB12
S61	61	f50_b50_b_p2_r3	microcosm	microcosm	f50	b50	b	p2	r3	27F-NB04	1492R-NB13
S62	62	f50_b50_b_p2_r4	microcosm	microcosm	f50	b50	b	p2	r4	27F-NB04	1492R-NB14
S63	63	f75_b25_b_p2_r1	microcosm	microcosm	f75	b25	b	p2	r1	27F-NB04	1492R-NB15
S64	64	f75_b25_b_p2_r2	microcosm	microcosm	f75	b25	b	p2	r2	27F-NB04	1492R-NB16
S65	65	f75_b25_b_p2_r3	microcosm	microcosm	f75	b25	b	p2	r3	27F-NB05	1492R-NB01
S66	66	f75_b25_b_p2_r4	microcosm	microcosm	f75	b25	b	p2	r4	27F-NB05	1492R-NB02
S67	67	f100_b0_b_p2_r1	microcosm	microcosm	f100	b0	b	p2	r1	27F-NB05	1492R-NB03
S68	68	f100_b0_b_p2_r2	microcosm	microcosm	f100	b0	b	p2	r2	27F-NB05	1492R-NB04
S69	69	f100_b0_b_p2_r3	microcosm	microcosm	f100	b0	b	p2	r3	27F-NB05	1492R-NB05
S70	70	f100_b0_b_p2_r4	microcosm	microcosm	f100	b0	b	p2	r4	27F-NB05	1492R-NB06
S71	71	f0_b100_f_p2_r1	microcosm	microcosm	f0	b100	f	p2	r1	27F-NB05	1492R-NB07
S72	72	f0_b100_f_p2_r2	microcosm	microcosm	f0	b100	f	p2	r2	27F-NB05	1492R-NB08
S73	73	f0_b100_f_p2_r3	microcosm	microcosm	f0	b100	f	p2	r3	27F-NB05	1492R-NB09
S74	74	f0_b100_f_p2_r4	microcosm	microcosm	f0	b100	f	p2	r4	27F-NB05	1492R-NB10
S75	75	f25_b75_f_p2_r1	microcosm	microcosm	f25	b75	f	p2	r1	27F-NB05	1492R-NB11
S76	76	f25_b75_f_p2_r2	microcosm	microcosm	f25	b75	f	p2	r2	27F-NB05	1492R-NB12
S77	77	f25_b75_f_p2_r3	microcosm	microcosm	f25	b75	f	p2	r3	27F-NB05	1492R-NB13
S78	78	f25_b75_f_p2_r4	microcosm	microcosm	f25	b75	f	p2	r4	27F-NB05	1492R-NB14
S79	79	f50_b50_f_p2_r1	microcosm	microcosm	f50	b50	f	p2	r1	27F-NB05	1492R-NB15
S80	80	f50_b50_f_p2_r2	microcosm	microcosm	f50	b50	f	p2	r2	27F-NB05	1492R-NB16
S81	81	f50_b50_f_p2_r3	microcosm	microcosm	f50	b50	f	p2	r3	27F-NB06	1492R-NB01
S82	82	f50_b50_f_p2_r4	microcosm	microcosm	f50	b50	f	p2	r4	27F-NB06	1492R-NB02
S83	83	f75_b25_f_p2_r1	microcosm	microcosm	f75	b25	f	p2	r1	27F-NB06	1492R-NB03
S84	84	f75_b25_f_p2_r2	microcosm	microcosm	f75	b25	f	p2	r2	27F-NB06	1492R-NB04
S85	85	f75_b25_f_p2_r3	microcosm	microcosm	f75	b25	f	p2	r3	27F-NB06	1492R-NB05
S86	86	f75_b25_f_p2_r4	microcosm	microcosm	f75	b25	f	p2	r4	27F-NB06	1492R-NB06
S87	87	f100_b0_f_p2_r1	microcosm	microcosm	f100	b0	f	p2	r1	27F-NB06	1492R-NB07
S88	88	f100_b0_f_p2_r2	microcosm	microcosm	f100	b0	f	p2	r2	27F-NB06	1492R-NB08
S89	89	f100_b0_f_p2_r3	microcosm	microcosm	f100	b0	f	p2	r3	27F-NB06	1492R-NB09
S90	90	f100_b0_f_p2_r4	microcosm	microcosm	f100	b0	f	p2	r4	27F-NB06	1492R-NB10
S91	91	f0_b0_f_p2_r1	control	microcosm_control	f0	b0	f	p2	r1	27F-NB06	1492R-NB11
S92	92	f0_b0_b_p2_r1	control	microcosm_control	f0	b0	b	p2	r1	27F-NB06	1492R-NB12
S93	93	f0_b100_b_p3_r1	microcosm	microcosm	f0	b100	b	p3	r1	27F-NB06	1492R-NB13
S94	94	f0_b100_b_p3_r2	microcosm	microcosm	f0	b100	b	p3	r2	27F-NB06	1492R-NB14
S95	95	f0_b100_b_p3_r3	microcosm	microcosm	f0	b100	b	p3	r3	27F-NB06	1492R-NB15
S96	96	f0_b100_b_p3_r4	microcosm	microcosm	f0	b100	b	p3	r4	27F-NB06	1492R-NB16
S97	97	f25_b75_b_p3_r1	microcosm	microcosm	f25	b75	b	p3	r1	27F-NB07	1492R-NB01
S98	98	f25_b75_b_p3_r2	microcosm	microcosm	f25	b75	b	p3	r2	27F-NB07	1492R-NB02
S99	99	f25_b75_b_p3_r3	microcosm	microcosm	f25	b75	b	p3	r3	27F-NB07	1492R-NB03
S100	100	f25_b75_b_p3_r4	microcosm	microcosm	f25	b75	b	p3	r4	27F-NB07	1492R-NB04
S101	101	f50_b50_b_p3_r1	microcosm	microcosm	f50	b50	b	p3	r1	27F-NB07	1492R-NB05
S102	102	f50_b50_b_p3_r2	microcosm	microcosm	f50	b50	b	p3	r2	27F-NB07	1492R-NB06
S103	103	f50_b50_b_p3_r3	microcosm	microcosm	f50	b50	b	p3	r3	27F-NB07	1492R-NB07
S104	104	f50_b50_b_p3_r4	microcosm	microcosm	f50	b50	b	p3	r4	27F-NB07	1492R-NB08
S105	105	f75_b25_b_p3_r1	microcosm	microcosm	f75	b25	b	p3	r1	27F-NB07	1492R-NB09
S106	106	f75_b25_b_p3_r2	microcosm	microcosm	f75	b25	b	p3	r2	27F-NB07	1492R-NB10
S107	107	f75_b25_b_p3_r3	microcosm	microcosm	f75	b25	b	p3	r3	27F-NB07	1492R-NB11
S108	108	f75_b25_b_p3_r4	microcosm	microcosm	f75	b25	b	p3	r4	27F-NB07	1492R-NB12
S109	109	f100_b0_b_p3_r1	microcosm	microcosm	f100	b0	b	p3	r1	27F-NB07	1492R-NB13
S110	110	f100_b0_b_p3_r2	microcosm	microcosm	f100	b0	b	p3	r2	27F-NB07	1492R-NB14
S111	111	f100_b0_b_p3_r3	microcosm	microcosm	f100	b0	b	p3	r3	27F-NB07	1492R-NB15
S112	112	f100_b0_b_p3_r4	microcosm	microcosm	f100	b0	b	p3	r4	27F-NB07	1492R-NB16
S113	113	f0_b100_f_p3_r1	microcosm	microcosm	f0	b100	f	p3	r1	27F-NB08	1492R-NB01
S114	114	f0_b100_f_p3_r2	microcosm	microcosm	f0	b100	f	p3	r2	27F-NB08	1492R-NB02
S115	115	f0_b100_f_p3_r3	microcosm	microcosm	f0	b100	f	p3	r3	27F-NB08	1492R-NB03
S116	116	f0_b100_f_p3_r4	microcosm	microcosm	f0	b100	f	p3	r4	27F-NB08	1492R-NB04
S117	117	f25_b75_f_p3_r1	microcosm	microcosm	f25	b75	f	p3	r1	27F-NB08	1492R-NB05
S118	118	f25_b75_f_p3_r2	microcosm	microcosm	f25	b75	f	p3	r2	27F-NB08	1492R-NB06
S119	119	f25_b75_f_p3_r3	microcosm	microcosm	f25	b75	f	p3	r3	27F-NB08	1492R-NB07
S120	120	f25_b75_f_p3_r4	microcosm	microcosm	f25	b75	f	p3	r4	27F-NB08	1492R-NB08
S121	121	f50_b50_f_p3_r1	microcosm	microcosm	f50	b50	f	p3	r1	27F-NB08	1492R-NB09
S122	122	f50_b50_f_p3_r2	microcosm	microcosm	f50	b50	f	p3	r2	27F-NB08	1492R-NB10
S123	123	f50_b50_f_p3_r3	microcosm	microcosm	f50	b50	f	p3	r3	27F-NB08	1492R-NB11
S124	124	f50_b50_f_p3_r4	microcosm	microcosm	f50	b50	f	p3	r4	27F-NB08	1492R-NB12
S125	125	f75_b25_f_p3_r1	microcosm	microcosm	f75	b25	f	p3	r1	27F-NB08	1492R-NB13
S126	126	f75_b25_f_p3_r2	microcosm	microcosm	f75	b25	f	p3	r2	27F-NB08	1492R-NB14
S127	127	f75_b25_f_p3_r3	microcosm	microcosm	f75	b25	f	p3	r3	27F-NB08	1492R-NB15
S128	128	f75_b25_f_p3_r4	microcosm	microcosm	f75	b25	f	p3	r4	27F-NB08	1492R-NB16
S129	129	f100_b0_f_p3_r1	microcosm	microcosm	f100	b0	f	p3	r1	27F-NB09	1492R-NB01
S130	130	f100_b0_f_p3_r2	microcosm	microcosm	f100	b0	f	p3	r2	27F-NB09	1492R-NB02
S131	131	f100_b0_f_p3_r3	microcosm	microcosm	f100	b0	f	p3	r3	27F-NB09	1492R-NB03
S132	132	f100_b0_f_p3_r4	microcosm	microcosm	f100	b0	f	p3	r4	27F-NB09	1492R-NB04
S133	133	f0_b0_f_p3_r1	control	microcosm_control	f0	b0	f	p3	r1	27F-NB09	1492R-NB05
S134	134	f0_b0_b_p3_r1	control	microcosm_control	f0	b0	b	p3	r1	27F-NB09	1492R-NB06
S135	135	f0_b100_b_p4_r1	microcosm	microcosm	f0	b100	b	p4	r1	27F-NB09	1492R-NB07
S136	136	f0_b100_b_p4_r2	microcosm	microcosm	f0	b100	b	p4	r2	27F-NB09	1492R-NB08
